multilib/lib32-attr 2.4.47-1 [installed]
multilib/lib32-bzip2 1.0.6-2 [installed]
multilib/lib32-dbus 1.10.14-1 [installed]
multilib/lib32-e2fsprogs 1.43.3-1 [installed]
multilib/lib32-expat 2.2.0-1 [installed]
multilib/lib32-flac 1.3.1-2 [installed]
multilib/lib32-fontconfig 2.12.1-4 [installed]
multilib/lib32-freetype2 2.7.1-1 [installed]
multilib/lib32-gcc-libs 6.3.1-1 [installed]
multilib/lib32-gettext 0.19.8.1-1 [installed]
multilib/lib32-giflib 5.1.4-1 [installed]
multilib/lib32-glib2 2.50.1-2 [installed]
multilib/lib32-glibc 2.24-2 [installed]
multilib/lib32-glu 9.0.0-3 [installed]
multilib/lib32-gmp 6.1.1-1 [installed]
multilib/lib32-gnutls 3.4.15-1 [installed]
multilib/lib32-gst-plugins-base-libs 1.8.3-1 [installed]
multilib/lib32-gstreamer 1.8.3-1 [installed]
multilib/lib32-harfbuzz 1.4.1-1 [installed]
multilib/lib32-keyutils 1.5.9-1 [installed]
multilib/lib32-krb5 1.13.7-1 [installed]
multilib/lib32-lcms2 2.8-1 [installed]
multilib/lib32-libasyncns 0.8+3+g68cd5af-1 [installed]
multilib/lib32-libcap 2.25-1 [installed]
multilib/lib32-libcups 2.2.1-1 [installed]
multilib/lib32-libdrm 2.4.74-1 [installed]
multilib/lib32-libelf 0.168-1 [installed]
multilib/lib32-libffi 3.2.1-1 [installed]
multilib/lib32-libgcrypt 1.7.3-1 [installed]
multilib/lib32-libgpg-error 1.24-1 [installed]
multilib/lib32-libice 1.0.9-1 [installed]
multilib/lib32-libidn 1.33-1 [installed]
multilib/lib32-libjpeg-turbo 1.5.1-1 [installed]
multilib/lib32-libldap 2.4.44-1 [installed]
multilib/lib32-libltdl 2.4.6-4 (multilib-devel) [installed]
multilib/lib32-libnl 3.2.29-1 [installed]
multilib/lib32-libogg 1.3.2-1 [installed]
multilib/lib32-libpcap 1.8.1-1 [installed]
multilib/lib32-libpciaccess 0.13.4-1 [installed]
multilib/lib32-libpng 1.6.27-1 [installed]
multilib/lib32-libpng12 1.2.57-1 [installed]
multilib/lib32-libpulse 10.0-1 [installed]
multilib/lib32-libsamplerate 0.1.9-1 [installed]
multilib/lib32-libsm 1.2.2-1 [installed]
multilib/lib32-libsndfile 1.0.27-1 [installed]
multilib/lib32-libtasn1 4.9-1 [installed]
multilib/lib32-libtiff 4.0.7-1 [installed]
multilib/lib32-libtxc_dxtn 1.0.1-5 [installed]
multilib/lib32-libusb 1.0.21-1 [installed]
multilib/lib32-libvorbis 1.3.5-1 [installed]
multilib/lib32-libx11 1.6.4-1 [installed]
multilib/lib32-libxau 1.0.8-1 [installed]
multilib/lib32-libxcb 1.12-2 [installed]
multilib/lib32-libxcomposite 0.4.4-2 [installed]
multilib/lib32-libxcursor 1.1.14-1 [installed]
multilib/lib32-libxdamage 1.1.4-2 [installed]
multilib/lib32-libxdmcp 1.1.2-1 [installed]
multilib/lib32-libxext 1.3.3-1 [installed]
multilib/lib32-libxfixes 5.0.3-1 [installed]
multilib/lib32-libxi 1.7.7-2 [installed]
multilib/lib32-libxinerama 1.1.3-1 [installed]
multilib/lib32-libxml2 2.9.3-1 [installed]
multilib/lib32-libxrandr 1.5.1-1 [installed]
multilib/lib32-libxrender 0.9.10-1 [installed]
multilib/lib32-libxshmfence 1.2-1 [installed]
multilib/lib32-libxslt 1.1.29-1 [installed]
multilib/lib32-libxtst 1.2.3-1 [installed]
multilib/lib32-libxv 1.0.11-1 [installed]
multilib/lib32-libxxf86vm 1.1.4-1 [installed]
multilib/lib32-llvm-libs 3.9.1-2 [installed]
multilib/lib32-mesa 13.0.3-1 [installed]
multilib/lib32-mesa-libgl 13.0.3-1 [installed]
multilib/lib32-mpg123 1.23.8-1 [installed]
multilib/lib32-ncurses 6.0-2 [installed]
multilib/lib32-nettle 3.3-1 [installed]
multilib/lib32-ocl-icd 2.2.10-1 [installed]
multilib/lib32-openal 1.17.2-1 [installed]
multilib/lib32-opencl-nvidia 375.26-2 [installed]
multilib/lib32-openssl 1:1.0.2.k-1 [installed]
multilib/lib32-orc 0.4.26-1 [installed]
multilib/lib32-p11-kit 0.23.2-1 [installed]
multilib/lib32-pcre 8.39-1 [installed]
multilib/lib32-readline 7.0-1 [installed]
multilib/lib32-sdl 1.2.15-6 [installed]
multilib/lib32-speex 1.2.0-1 [installed]
multilib/lib32-speexdsp 1.2rc3-1 [installed]
multilib/lib32-systemd 232-1 [installed]
multilib/lib32-util-linux 2.29.1-1 [installed]
multilib/lib32-v4l-utils 1.10.1-1 [installed]
multilib/lib32-wayland 1.12.0-1 [installed]
multilib/lib32-xz 5.2.3-1 [installed]
multilib/lib32-zlib 1.2.11-1 [installed]
core/libaio 0.3.110-1 [installed]
core/libarchive 3.2.2-2 [installed]
extra/libass 0.13.4-1 [installed]
core/libassuan 2.4.3-1 [installed]
extra/libasyncns 0.8+3+g68cd5af-1 [installed]
extra/libatomic_ops 7.4.4-1 [installed]
extra/libavc1394 0.5.4-2 [installed]
extra/libbluray 0.9.3.r84.05c9fdec-1 [installed]
extra/libbsd 0.8.3-1 [installed]
extra/libcaca 0.99.beta19-1 [installed]
extra/libcanberra 0.30-8 [installed]
extra/libcanberra-pulse 0.30-8 [installed]
core/libcap 2.25-1 [installed]
extra/libcap-ng 0.7.8-1 [installed]
extra/libcroco 0.6.11-1 [installed]
extra/libcups 2.2.2-2 [installed]
extra/libdaemon 0.14-3 [installed]
extra/libdatrie 0.2.10-1 [installed]
extra/libdmx 1.1.3-1 [installed]
extra/libdrm 2.4.74-1 [installed]
extra/libdv 1.0.0-6 [installed]
core/libedit 20160903_3.1-1 [installed]
core/libelf 0.168-1 [installed]
extra/libepoxy 1.3.1-1 [installed]
extra/libevdev 1.5.6-1 [installed]
core/libevent 2.0.22-2 [installed]
extra/libexif 0.6.21-2 [installed]
extra/libfbclient 2.5.6.27020-2 [installed]
core/libffi 3.2.1-2 [installed]
community/libfm 1.2.5-1 [installed]
community/libfm-extra 1.2.5-1 [installed]
community/libfm-gtk2 1.2.5-1 [installed]
extra/libfontenc 1.1.3-1 [installed]
core/libgcrypt 1.7.6-1 [installed]
extra/libgdiplus 4.2-1 [installed]
extra/libglade 2.6.4-5 [installed]
extra/libglvnd 0.1.1.20161028-1 [installed]
core/libgpg-error 1.26-1 [installed]
extra/libgsf 1.14.40-1 [installed]
extra/libgudev 230-1 [installed]
extra/libice 1.0.9-1 [installed]
extra/libid3tag 0.15.1b-8 [installed]
core/libidn 1.33-1 [installed]
extra/libiec61883 1.2.0-4 [installed]
extra/libimobiledevice 1.2.0-4 [installed]
extra/libinput 1.6.0-1 [installed]
extra/libjpeg-turbo 1.5.1-1 [installed]
community/libkeybinder2 0.3.1-1 [installed]
core/libksba 1.3.4-2 [installed]
core/libldap 2.4.44-3 [installed]
extra/liblqr 0.4.2-1 [installed]
extra/libmariadbclient 10.1.21-1 [installed]
extra/libmm-glib 1.6.4-1 [installed]
extra/libmng 2.0.3-1 [installed]
core/libmnl 1.0.4-1 [installed]
extra/libmodplug 0.8.8.5-2 [installed]
core/libmpc 1.0.3-2 [installed]
core/libnftnl 1.0.7-1 [installed]
core/libnl 3.2.29-1 [installed]
extra/libnotify 0.7.7-1 [installed]
extra/libogg 1.3.2-1 [installed]
extra/libomxil-bellagio 0.9.3-1 [installed]
extra/libpaper 1.1.24-10 [installed]
core/libpcap 1.8.1-2 [installed]
extra/libpciaccess 0.13.4-1 [installed]
extra/libpeas 1.20.0-2 [installed]
core/libpipeline 1.4.1-1 [installed]
extra/libplist 1.12-6 [installed]
extra/libpng 1.6.28-1 [installed]
extra/libproxy 0.4.13-2 [installed]
core/libpsl 0.16.1-1 [installed]
extra/libpulse 10.0-2 [installed]
extra/libraw1394 2.1.2-1 [installed]
extra/librsvg 2:2.40.16-1 [installed]
extra/libsamplerate 0.1.9-1 [installed]
core/libsasl 2.1.26-8 [installed]
core/libseccomp 2.3.1-1 [installed]
core/libsecret 0.18.5-1 [installed]
extra/libshout 1:2.4.1-2 [installed]
extra/libsm 1.2.2-2 [installed]
extra/libsndfile 1.0.27-1 [installed]
extra/libsoup 2.56.0-1 [installed]
extra/libsoxr 0.1.2-1 [installed]
extra/libspectre 0.2.8-1 [installed]
extra/libssh 0.7.3-2 [installed]
core/libssh2 1.8.0-1 [installed]
core/libsystemd 232-8 [installed]
core/libtasn1 4.10-1 [installed]
extra/libthai 0.1.26-1 [installed]
extra/libtheora 1.1.1-3 [installed]
extra/libtiff 4.0.7-2 [installed]
core/libtirpc 1.0.1-2 [installed]
core/libtool 2.4.6-7 (base-devel) [installed]
extra/libtxc_dxtn 1.0.1-6 [installed]
core/libunistring 0.9.7-1 [installed]
extra/libunwind 1.1-3 [installed]
core/libusb 1.0.21-1 [installed]
extra/libusbmuxd 1.0.10-1 [installed]
extra/libutempter 1.1.6-2 [installed]
core/libutil-linux 2.29.1-1 [installed]
extra/libva 1.7.3-1 [installed]
extra/libvdpau 1.1.1-2 [installed]
extra/libvisual 0.4.0-6 [installed]
extra/libvoikko 4.0.2-2 [installed]
extra/libvorbis 1.3.5-1 [installed]
extra/libvpx 1.6.1-1 [installed]
extra/libwacom 0.22-1 [installed]
extra/libwbclient 4.5.4-1 [installed]
extra/libwebp 0.5.2-1 [installed]
extra/libwmf 0.2.8.4-14 [installed]
extra/libwnck 2.31.0-1 [installed]
extra/libx11 1.6.4-1 [installed]
extra/libx264 2:148.20160920-1 [installed]
extra/libxau 1.0.8-2 [installed]
extra/libxaw 1.0.13-1 [installed]
extra/libxcb 1.12-1 [installed]
extra/libxcomposite 0.4.4-2 [installed]
extra/libxcursor 1.1.14-2 [installed]
extra/libxdamage 1.1.4-2 [installed]
extra/libxdmcp 1.1.2-1 [installed]
extra/libxext 1.3.3-1 [installed]
extra/libxfixes 5.0.3-1 [installed]
extra/libxfont 1.5.2-1 [installed]
extra/libxfont2 2.0.1-1 [installed]
extra/libxft 2.3.2-1 [installed]
extra/libxi 1.7.9-1 [installed]
extra/libxinerama 1.1.3-2 [installed]
extra/libxkbcommon 0.7.1-1 [installed]
extra/libxkbcommon-x11 0.7.1-1 [installed]
extra/libxkbfile 1.0.9-1 [installed]
extra/libxml2 2.9.4+12+ge905f081-5 [installed]
extra/libxmu 1.1.2-1 [installed]
extra/libxpm 3.5.12-1 [installed]
extra/libxrandr 1.5.1-1 [installed]
extra/libxrender 0.9.10-1 [installed]
extra/libxres 1.0.7-1 [installed]
extra/libxshmfence 1.2-1 [installed]
extra/libxslt 1.1.29+23+geb1030d-1 [installed]
extra/libxss 1.2.2-2 [installed]
extra/libxt 1.1.5-1 [installed]
extra/libxtst 1.2.3-1 [installed]
extra/libxv 1.0.11-1 [installed]
extra/libxvmc 1.0.10-1 [installed]
extra/libxxf86dga 1.1.4-1 [installed]
extra/libxxf86vm 1.1.4-1 [installed]
core/licenses 20140629-1 (base) [installed]
core/links 2.14-1 [installed]
core/linux 4.9.6-1 (base) [installed]
core/linux-api-headers 4.7-1 [installed]
core/linux-firmware 20161222.4b9559f-2 [installed]
extra/llvm-libs 3.9.1-2 [installed]
core/logrotate 3.11.0-1 (base) [installed]
community/lsb-release 1.4-14 [installed]
extra/lsof 4.89-1 [installed]
extra/lua 5.3.3-2 [installed]
core/lvm2 2.02.168-1 (base) [installed]
community/lxappearance 0.6.3-1 (lxde) [installed]
community/lxappearance-obconf 0.2.3-1 (lxde) [installed]
community/lxde-common 0.99.2-1 (lxde lxde-gtk3) [installed]
community/lxde-icon-theme 0.5.1-3 (lxde lxde-gtk3) [installed]
community/lxdm 0.5.3-3 (lxde) [installed]
community/lxinput 0.3.5-1 (lxde) [installed]
community/lxlauncher 0.2.5-1 (lxde) [installed]
community/lxmenu-data 0.1.5-1 [installed]
community/lxmusic 0.4.7-1 (lxde) [installed]
community/lxpanel 0.9.3-1 (lxde) [installed]
community/lxrandr 0.3.1-1 (lxde) [installed]
community/lxsession 1:0.5.3-1 (lxde) [installed]
community/lxtask 0.1.8-1 (lxde) [installed]
community/lxterminal 0.3.0-1 (lxde) [installed]
core/lz4 1:1.7.5-1 [installed]
core/lzo 2.09-1 [installed]
core/m4 1.4.18-1 (base-devel) [installed]
core/make 4.2.1-1 (base-devel) [installed]
core/man-db 2.7.6.1-2 (base) [installed]
core/man-pages 4.09-1 (base) [installed]
community/mc 4.8.18-1 [installed]
core/mdadm 3.4-1 (base) [installed]
community/menu-cache 1.0.2-1 [installed]
extra/mesa 13.0.3-1 [installed]
extra/mesa-demos 8.3.0-2 [installed]
extra/mesa-libgl 13.0.3-1 [installed]
extra/metis 5.1.0.p3-1 [installed]
core/minizip 1:1.2.11-1 [installed]
